Name,ClusterNo,Property,Degree,Visited,Border
"""南安郡王""",0,噪声,2,true,false
"""冯紫英""",0,噪声,1,true,false
"""三姑娘""",0,噪声,1,true,false
"""瑞珠""",0,噪声,1,true,false
"""王狗儿""",0,噪声,4,true,false
"""二姑娘""",0,噪声,1,true,false
"""北静王太妃""",0,噪声,1,true,false
"""贾王扁之母""",0,噪声,2,true,false
"""陈翼""",0,噪声,1,true,false
"""史湘云""",0,噪声,5,true,false
"""大姑娘""",0,噪声,1,true,false
"""贾琼""",0,噪声,1,true,false
"""臻儿""",0,噪声,1,true,false
"""史鼎的夫人""",0,噪声,1,true,false
"""香菱""",0,噪声,2,true,false
"""李婶""",0,噪声,4,true,false
"""贾瑞之父""",0,噪声,3,true,false
"""韩奇""",0,噪声,1,true,false
"""袭人""",0,噪声,2,true,false
"""南安王太妃""",0,噪声,1,true,false
"""甄夫人""",0,噪声,1,true,false
"""贾四姐""",0,噪声,1,true,false
"""宝珠""",0,噪声,1,true,false
"""甄宝玉""",0,噪声,3,true,false
"""傅试""",0,噪声,1,true,false
"""王老爷""",0,噪声,1,true,false
"""马贩子王短腿""",0,噪声,1,true,false
"""景田侯""",0,噪声,1,true,false
"""彩儿""",0,噪声,1,true,false
"""应天府门子""",0,噪声,2,true,false
"""贾喜鸾""",0,噪声,1,true,false
"""定城侯""",0,噪声,1,true,false
"""王青儿""",0,噪声,1,true,false
"""神武将军冯唐""",0,噪声,1,true,false
"""东安郡王穆莳拜""",0,噪声,1,true,false
"""袭人之母""",0,噪声,1,true,false
"""卜世仁店里伙计""",0,噪声,1,true,false
"""卜银姐""",0,噪声,1,true,false
"""刘氏""",0,噪声,2,true,false
"""邢岫烟""",0,噪声,1,true,false
"""天子之妻""",0,噪声,1,true,false
"""戚建辉""",0,噪声,1,true,false
"""北静郡王长府官""",0,噪声,1,true,false
"""孙亲太太""",0,噪声,1,true,false
"""马魁""",0,噪声,1,true,false
"""贾瑞""",0,噪声,1,true,false
"""李衙内""",0,噪声,1,true,false
"""西宁郡王妃""",0,噪声,1,true,false
"""小丫头子""",0,噪声,1,true,false
"""刘姥姥""",0,噪声,1,true,false
"""长安府府太爷""",0,噪声,1,true,false
"""葵官""",0,噪声,1,true,false
"""西宁郡王""",0,噪声,2,true,false
"""陈瑞文""",0,噪声,1,true,false
"""贾芹""",0,噪声,1,true,false
"""王奶奶""",0,噪声,1,true,false
"""侯孝康""",0,噪声,1,true,false
"""西宁郡王之孙""",0,噪声,1,true,false
"""花自芳""",0,噪声,1,true,false
"""史鼐""",0,噪声,1,true,false
"""多姑娘儿""",0,噪声,1,true,false
"""南安郡王之孙""",0,噪声,1,true,false
"""赖尚荣""",0,噪声,1,true,false
"""卫若兰""",0,噪声,1,true,false
"""贾瑞之母""",0,噪声,1,true,false
"""甄宝玉祖母""",0,噪声,1,true,false
"""马道婆""",0,噪声,1,true,false
"""长安原任守备""",0,噪声,1,true,false
"""柳彪""",0,噪声,1,true,false
"""碧月""",0,噪声,1,true,false
"""镇国公诰命""",0,噪声,1,true,false
"""李婶之弟""",0,噪声,1,true,false
"""甄应嘉""",0,噪声,6,true,false
"""卜世仁娘子""",0,噪声,1,true,false
"""平原侯""",0,噪声,1,true,false
"""缮国公诰命""",0,噪声,1,true,false
"""马尚""",0,噪声,1,true,false
"""贾化""",0,噪声,5,true,false
"""锦乡侯诰命""",0,噪声,1,true,false
"""素云""",0,噪声,1,true,false
"""贾芸""",0,噪声,3,true,false
"""鸳鸯""",0,噪声,2,true,false
"""梅翰林之子""",0,噪声,2,true,false
"""赖大的女儿""",0,噪声,1,true,false
"""王成""",0,噪声,2,true,false
"""周奶妈""",0,噪声,1,true,false
"""水溶""",0,噪声,3,true,false
"""湘云母""",0,噪声,2,true,false
"""北静郡王""",0,噪声,2,true,false
"""牛清""",0,噪声,3,true,false
"""宝蟾""",0,噪声,1,true,false
"""柳芳""",0,噪声,1,true,false
"""龄官""",0,噪声,1,true,false
"""襄阳侯""",0,噪声,1,true,false
"""缮国公""",0,噪声,2,true,false
"""梅翰林""",0,噪声,1,true,false
"""锦乡侯""",0,噪声,2,true,false
"""倪二""",0,噪声,4,true,false
"""周氏""",0,噪声,1,true,false
"""王子腾之女""",0,噪声,2,true,false
"""石光珠""",0,噪声,1,true,false
"""北静王少妃""",0,噪声,1,true,false
"""吴天佑""",0,噪声,1,true,false
"""裘良""",0,噪声,1,true,false
"""翠缕""",0,噪声,1,true,false
"""张大老爷之女""",0,噪声,1,true,false
"""东平郡王""",0,噪声,1,true,false
"""侯明""",0,噪声,1,true,false
"""贾代儒""",0,噪声,1,true,false
"""金荣""",0,噪声,1,true,false
"""李绮""",0,噪声,3,true,false
"""贾菌""",0,噪声,1,true,false
"""保宁侯之子""",0,噪声,1,true,false
"""贾王扁""",0,噪声,1,true,false
"""李纹""",0,噪声,1,true,false
"""娇杏""",0,噪声,1,true,false
"""倪儿娘子""",0,噪声,1,true,false
"""王子腾夫人""",0,噪声,1,true,false
"""贾雨村子""",0,噪声,1,true,false
"""荳官""",0,噪声,1,true,false
"""夏三""",0,噪声,1,true,false
"""倪二女儿""",0,噪声,1,true,false
"""张如圭""",0,噪声,1,true,false
"""傅秋芳""",0,噪声,1,true,false
"""贾琼之母""",0,噪声,2,true,false
"""谢鲸""",0,噪声,1,true,false
"""赖嬷嬷""",0,噪声,1,true,false
"""金彩""",0,噪声,1,true,false
"""锦田侯诰命""",0,噪声,1,true,false
"""蒋子宁""",0,噪声,1,true,false
"""李守中""",0,噪声,2,true,false
"""赖大""",0,噪声,3,true,false
"""牛继宗""",0,噪声,1,true,false
"""王板儿""",0,噪声,1,true,false
"""小螺""",0,噪声,1,true,false
"""五嫂子卜氏""",0,噪声,2,true,false
"""镇国公诰命长男""",0,噪声,1,true,false
"""卜世仁""",0,噪声,5,true,false
"""金文翔""",0,噪声,1,true,false
"""李公子""",0,噪声,2,true,false
